Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2015-01-02,170.12503051757812,171.32584529520108,169.08985407923498,170.9117747198638,121465900
2015-01-05,167.05255126953125,169.2471191784024,166.74614323904638,169.08149355750314,169632600
2015-01-06,165.4791717529297,167.88077604924092,164.6841506836419,167.35904307763232,209151400
2015-01-07,167.5412139892578,167.88075485287703,166.3569783519322,166.80416895939857,125346700
2015-01-08,170.51425170898438,170.72957648769642,168.93251177202868,168.9490654962137,147217800
2015-01-09,169.1477813720703,170.9448456357597,168.53495254772835,170.92827927931057,158567300
2015-01-12,167.82276916503906,169.43765422966325,167.21822977118725,169.28030541730055,144396100
2015-01-13,167.35072326660156,170.16639741804175,166.05053592069322,169.04012523018008,214553300
2015-01-14,166.34043884277344,166.53919727619112,164.44400109008578,165.3383824493862,192991100
2015-01-15,164.8166046142578,167.29273780529536,164.70066539430715,166.97805285767345,176613900
2015-01-16,166.9780731201172,167.1354219312357,164.42739733525644,164.60958936534854,211879600
2015-01-20,167.3341522216797,167.88072826145347,165.7689663888203,167.61571710165006,130991100
2015-01-21,168.1788330078125,168.65915618197872,166.40661222416333,166.87036904434433,122942700
2015-01-22,170.67991638183594,170.812409377916,167.55782033658105,168.9325378419268,174356000
2015-01-23,169.7440643310547,170.6798677187709,169.6115587363211,170.42313339031367,117516800
2015-01-26,170.1416015625,170.23269759703916,168.81658326680397,169.528785181447,92009700
2015-01-27,167.89732360839844,169.04014968220312,167.0691825456615,168.08779251462758,134044600
2015-01-28,165.74412536621094,169.18090517407325,165.55365649034815,169.08153230604532,168514300
2015-01-29,167.27622985839844,167.53295158450695,164.535072128723,165.9429221459114,173585400
2015-01-30,165.17269897460938,167.4252432198437,164.90770045916094,166.10022536974702,197729700
2015-02-02,167.21823120117188,167.30932721771725,163.85598072283597,165.66961155632973,163107000
2015-02-03,169.63638305664062,169.64467255315608,167.7399459094598,168.11260679625465,124212900
2015-02-04,168.9904022216797,170.08355409526646,168.53492227435189,168.87446302021672,134306700
2015-02-05,170.69644165039062,170.84551362122258,169.57845873308844,169.65298840028913,97953200
2015-02-06,170.22439575195312,171.6239561515473,169.70266284557835,171.06081366529,125672000
2015-02-09,169.46250915527344,170.29892707677755,169.05671548674957,169.57844839821885,87219000
2015-02-10,171.2678985595703,171.52462033823534,169.50395356412798,170.4977332235753,96164200
2015-02-11,171.3671875,171.7978242989837,170.4562401071207,171.10218898738265,91087800
2015-02-12,173.01519775390625,173.07317368320975,171.40032550339623,172.16221362577974,97545900
2015-02-13,173.72738647460938,173.77707290377327,172.88267926954353,173.13941354760124,93670400
2015-02-17,174.00070190429688,174.1746170702164,173.1642840631735,173.41271624816068,76968200
2015-02-18,174.0172576904297,174.09178734139812,173.36301927923287,173.6280304423576,80652900
2015-02-19,173.89305114746094,174.2574352250173,173.2802348683247,173.42101732802976,91462500
2015-02-20,174.9364776611328,175.01100730487258,172.85783604081865,173.4789416781696,140896400
2015-02-23,174.91168212890625,174.91168212890625,174.30713004551836,174.68808050030484,74411100
2015-02-24,175.4085235595703,175.6072819264432,174.53897307958917,174.83710431168478,72472300
2015-02-25,175.25950622558594,175.76467280547013,174.9199653395393,175.28434944784004,73061700
2015-02-26,175.0524444580078,175.32573249787598,174.44789244416535,175.1683836897917,72697900
2015-02-27,174.4561767578125,175.21806492067336,174.4064903222998,174.95305374936794,108076000
2015-03-02,175.55763244628906,175.6155957510603,174.50588973440398,174.55557617747365,87491400
2015-03-03,174.8371124267578,175.60729007726405,173.97585140318802,175.1269668123476,110325800
2015-03-04,174.10000610351562,174.31533076080646,173.13108305497752,174.2407884982854,114497200
2015-03-05,174.2906036376953,174.57216861477016,173.7854369969754,174.4230966268628,76873000
2015-03-06,171.8392791748047,173.85994549150837,171.5080277875941,173.42930857899026,188128000
2015-03-09,172.5514678955078,172.90756247783182,171.88067567378718,172.0380244934855,89818900
2015-03-10,169.75233459472656,171.2678341049669,169.71092501842804,171.18502758879842,157121300
2015-03-11,169.35482788085938,170.18296884849192,169.27200872952477,170.00905368526062,110145700
2015-03-12,171.50799560546875,171.5742357613371,169.93452022039267,169.98420665550796,93993500
2015-03-13,170.45631408691406,172.19540312069918,169.42113752998273,171.23476887955565,162410900
2015-03-16,172.73365783691406,172.82475385582055,170.48111322070739,171.18503815193296,136099200
2015-03-17,172.22024536132812,172.60118322774522,171.40865790665734,171.99664370451623,94510400
2015-03-18,174.2906036376953,174.96139599219856,171.1105318054684,171.74820407178777,228808500
2015-03-19,173.49554443359375,174.29884223735098,173.1063171416112,173.8764948644553,117917300
2015-03-20,175.0269775390625,175.5343990554761,174.26168836055672,174.44469367420336,177715100
2015-03-23,174.68588256835938,175.6092227410769,174.68588256835938,175.03525281035607,71784500
2015-03-24,173.7042999267578,175.0185919093405,173.63775140856606,174.56109147262433,77805300
2015-03-25,171.1588897705078,174.14519622246746,171.11730804726218,173.9122827238235,159521700
2015-03-26,170.7513427734375,171.66635670565452,169.7947217212742,170.49347509533237,153067200
2015-03-27,171.14227294921875,171.31695173779872,170.4435197163953,170.63485150385748,118939000
2015-03-30,173.2301483154297,173.52961030402437,172.15708359378408,172.1737112038828,96180400
2015-03-31,171.71624755859375,173.10542766496235,171.65802552080422,172.40667436163744,126768700
2015-04-01,171.1090087890625,171.7079329360202,170.11911991581752,171.6829788209666,137303600
2015-04-02,171.724609375,172.17379623331055,170.85949089499968,171.04249623912133,86900900
2015-04-06,172.88084411621094,173.39657946848428,170.70143323496615,170.83451763072776,114368200
2015-04-07,172.42330932617188,173.65442551024032,172.39004140458533,172.90577669260682,81236300
2015-04-08,173.005615234375,173.4464882354777,172.25696632117644,172.64793108711083,89351900
2015-04-09,173.77093505859375,174.0038486589541,172.34849933445307,172.83928065715241,85548900
2015-04-10,174.7191925048828,174.76078693025497,173.82081891959464,174.02045185284246,72722900
2015-04-13,173.9289093017578,175.20994622951594,173.87900107989284,174.57774157166983,74436600
2015-04-14,174.26165771484375,174.444662996307,173.10540399623537,173.72928217590538,75099900
2015-04-15,175.0435791015625,175.55100054245278,174.6443006097776,174.72748944644854,99529300
2015-04-16,174.99368286132812,175.50110433696972,174.51121549982994,174.71086110581254,68934900
2015-04-17,172.98062133789062,174.04537241941927,172.19869198583558,173.8041451072998,191113200
2015-04-20,174.56117248535156,174.8939025378961,173.82083732952773,173.90401349624491,92189500
2015-04-21,174.35321044921875,175.4013215227782,174.05374832922496,175.24327030766514,72559800
2015-04-22,175.20993041992188,175.39293567880293,173.77084245755444,174.69418255724239,78264600
2015-04-23,175.6508331298828,176.29966545157106,174.6942122607432,174.81066901866583,102585900
2015-04-24,176.05841064453125,176.3246047504669,175.6092239568068,176.06673714336273,61327400
2015-04-27,175.32644653320312,176.74888198105475,175.13511471141135,176.62411139539645,79358100
2015-04-28,175.88375854492188,175.93366677414596,174.1285805578068,175.30147471591496,86863500
2015-04-29,175.1600799560547,175.75899145469907,174.35319632844374,174.99370225288143,125684900
2015-04-30,173.4048614501953,174.9770339137259,172.7061082608666,174.58606924936552,161304900
2015-05-01,175.2847900390625,175.32638445049903,174.08694206955124,174.18675850273308,103399700
2015-05-04,175.783935546875,176.3662193542195,175.6009302513046,175.7090605129889,70927200
2015-05-05,173.77093505859375,175.90045077920712,173.62952413643492,175.5427538761142,113326200
2015-05-06,173.05545043945312,174.62762264797675,171.99069956240174,174.31984686576348,135060200
2015-05-07,173.74588012695312,174.1701253401162,172.6229072109594,172.95563710618006,88244900
2015-05-08,176.03343200683594,176.2330775584709,175.33469161536124,175.41788043508376,155877300
2015-05-11,175.19329833984375,176.25804933631173,175.11843601028733,175.99186793361127,75708100
2015-05-12,174.66925048828125,175.20995252786722,173.53795087828436,174.36147464716103,119727600
2015-05-13,174.70254516601562,175.70074779807248,174.4696316416302,175.07686956643255,94667900
2015-05-14,176.5242919921875,176.61579465109463,175.4429003940587,175.7174083707801,95934000
2015-05-15,176.71560668945312,176.8570175782501,176.23313929029138,176.71560668945312,76510100
2015-05-18,177.26463317871094,177.51417435447638,176.48270364708046,176.5492521915636,74549700
2015-05-19,177.2063751220703,177.65557456500738,176.9235533648642,177.38106661495368,72114600
2015-05-20,177.08163452148438,177.83028346264044,176.76553209649794,177.3062215881287,76857500
2015-05-21,177.5973663330078,177.80532577836263,176.77384235998136,176.940220070535,64764600
2015-05-22,177.173095703125,177.63059623069003,177.1065471717183,177.214677429024,57433500
2015-05-26,175.26820373535156,177.10657066744847,174.8522848785079,176.68232531005276,124308600
2015-05-27,176.93179321289062,177.1647066441516,175.31802680141806,175.7256316525398,93214000
2015-05-28,176.73228454589844,176.84041484098904,176.04185757073068,176.62414155796887,74974600
2015-05-29,175.63421630859375,176.70728138630633,175.36803483753582,176.66569965442963,124919600
2015-06-01,175.99188232421875,176.63238811990755,175.20162647150613,176.29965816611687,93338800
2015-06-02,175.81716918945312,176.5075958167085,174.9104693881596,175.53434749428806,91531000
2015-06-03,176.28305053710938,176.9069288357371,175.792269321803,176.34959907877004,87820900
2015-06-04,174.7940673828125,176.23314311090797,174.47796498168626,175.5759968848596,151882800
2015-06-05,174.49461364746094,175.16840021447948,173.8374546971027,174.6443383544263,121704700
2015-06-08,173.42149353027344,174.53616552378108,173.3466311950418,174.38642816048372,89063300
2015-06-09,173.396484375,173.9371862410881,172.76429259011653,173.396484375,105034700
2015-06-10,175.4761199951172,175.85877083412583,174.10359318232116,174.16181520768131,134551300
2015-06-11,176.04180908203125,176.42444729989205,175.6841122858548,175.91702581659672,73876400
2015-06-12,174.6942138671875,175.91701618303716,174.41970592966666,175.21827562907586,135382400
2015-06-15,173.94558715820312,174.22840893838293,172.8475552687948,173.55462241208073,124384200
2015-06-16,174.8938446044922,174.97703343649107,173.62113417047834,173.7958129477088,85308200
2015-06-17,175.17669677734375,175.7839474322654,174.153539968628,175.17669677734375,126708600
2015-06-18,176.99844360351562,177.46427073417405,175.20999743555834,175.7756410391186,165867900
2015-06-19,176.2126922607422,176.83125097118443,175.83654703671488,176.75602447729432,130478700
2015-06-22,177.1154327392578,177.7005488974588,176.90646177171635,177.13215398794233,70696000
2015-06-23,177.2407989501953,177.57516012975066,176.84794529040192,177.32439243372787,68476800
2015-06-24,175.95352172851562,177.34944599980352,175.92844623747123,176.97330087956456,92307300
2015-06-25,175.41859436035156,176.5804724618703,175.34336787105184,176.4550949797041,97107400
2015-06-26,175.3851776123047,176.02044482664536,174.83349114074264,175.77803133706038,104174800
2015-06-29,171.70726013183594,175.39351099709683,171.6320336459103,173.90563875410464,202621300
