Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2015-01-02,39.681739807128906,40.241832689033295,39.495044337994386,39.596878524545076,27913900
2015-01-05,39.31683349609375,39.6562818618999,39.24894188058228,39.35077606659908,39673900
2015-01-06,38.73976516723633,39.67325215841664,38.64641582066825,39.359261550437836,36447900
2015-01-07,39.23196029663086,39.427143792166376,38.603979178342634,39.01980390097273,29114100
2015-01-08,40.38610076904297,40.52188076357751,39.64779725108958,39.67325498842405,29645200
2015-01-09,40.04663848876953,40.581273491027616,39.80053953988844,40.403062902691445,23944200
2015-01-12,39.545963287353516,40.343673657634284,39.34229489635681,40.24183622488522,23651900
2015-01-13,39.34230041503906,40.657670018677535,39.087713271956,39.85996277375029,35270600
2015-01-14,39.002830505371094,39.24044786681937,38.71429768145148,39.002830505371094,29719600
2015-01-15,38.59550476074219,39.359269350152,38.536101207927075,39.2234893383959,32750800
2015-01-16,39.24046325683594,39.274405832712475,38.33243056055651,38.45124090650261,35695300
2015-01-20,39.367740631103516,39.58838509752569,38.67186790577153,39.29136419845734,36161900
2015-01-21,38.968902587890625,39.1556013352916,38.59550833033981,38.98587549558627,39081100
2015-01-22,39.99573516845703,40.00422000213215,39.10467871904467,39.35926581355527,35898000
2015-01-23,40.038177490234375,40.21638818464975,39.715698683255496,40.19093043894798,26211600
2015-01-26,39.893890380859375,39.99572778967614,39.24045147915981,39.88540554874962,42525500
2015-01-27,36.20237350463867,36.66063217568163,35.73563000068763,36.44847574322658,169164000
2015-01-28,34.954898834228516,36.31270218467374,34.929441093747,36.270271538120944,84507100
2015-01-29,35.65077590942383,35.74412528495887,34.615454417651726,34.73426153660498,63585300
2015-01-30,34.28449249267578,35.285871454957245,34.24205860188735,35.260410473033915,78004900
2015-02-02,35.03127670288086,35.107653164650266,34.14022014040515,34.44572598748275,50352500
2015-02-03,35.30283737182617,35.5828854824379,34.83609375805763,35.32829835104152,52082400
2015-02-04,35.50649642944336,35.82048700558946,35.099156516193034,35.59135769740181,41614800
2015-02-05,36.024166107177734,36.185403844885286,35.52347675221682,35.82898256029474,36548200
2015-02-06,35.9902229309082,36.31270166716514,35.76958162962763,36.21935230372886,34616600
2015-02-09,35.947784423828125,36.2702630895648,35.82048927657021,35.845950248371835,31381100
2015-02-10,36.15147018432617,36.2957383031775,35.79504877996106,36.270280556366174,29670700
2015-02-11,35.96475601196289,36.1938853263058,35.82048796785812,36.1938853263058,38262500
2015-02-12,36.56727981567383,36.56727981567383,36.07507537903712,36.202370522925925,33268800
2015-02-13,37.229217529296875,37.229217529296875,36.618209079300314,36.81339264889306,40264900
2015-02-17,37.24630355834961,37.60526130587638,36.91298145813258,37.57962239827828,33695700
2015-02-18,37.20356750488281,37.34886225452151,37.083914922997025,37.28903596357861,27111700
2015-02-19,37.17792510986328,37.20356401492274,36.79332523253123,36.90443258826894,27603400
2015-02-20,37.48560333251953,37.502697021889446,36.998444596484426,37.186468658977766,29721100
2015-02-23,37.73345947265625,37.767643593404486,37.30612699056631,37.34885958671769,32518800
2015-02-24,37.682193756103516,37.86167268924746,37.53689895763739,37.7334748485544,25271700
2015-02-25,37.59670639038086,37.682171567183914,37.434317990052534,37.56251901554463,29759800
2015-02-26,37.65655517578125,37.80184671525341,37.511260376019635,37.59672886419984,28957300
2015-02-27,37.47706604003906,37.776200802836186,37.31468083300441,37.71637450233453,33807700
2015-03-02,37.50271224975586,37.76765639184969,37.22067115106206,37.323230068637436,31924000
2015-03-03,36.989898681640625,37.45996702112603,36.827513511819916,37.22920708909359,31748600
2015-03-04,36.801876068115234,36.93007386192282,36.64803610731554,36.759140209891136,25748700
2015-03-05,36.84461212158203,36.955719494866244,36.59675846590514,36.810424735911724,23193500
2015-03-06,36.203609466552734,36.84460820849513,36.02413060127803,36.750594538030796,36248800
2015-03-09,36.62240219116211,36.86171066203674,36.058323294575224,36.058323294575224,32108000
2015-03-10,35.92157745361328,36.5027500527161,35.92157745361328,36.195070057862964,39159700
2015-03-11,35.87883758544922,36.21215642566365,35.75918500283772,36.160878610423495,32215300
2015-03-12,35.058353424072266,35.59679320605785,34.921607175028534,35.32330070797039,59992500
2015-03-13,35.36604309082031,35.44296308097122,34.707950566260074,34.78487055641098,58007700
2015-03-16,35.51987838745117,35.58824989174278,35.280569971710015,35.44295840744298,35273500
2015-03-17,35.6395378112793,35.75064519492034,35.169472625505605,35.357496743641775,31673400
2015-03-18,36.32326889038086,36.60530995493892,35.323312229396066,35.40877744031673,44194800
2015-03-19,36.14379119873047,36.4001901003468,36.083964897029624,36.11814902636659,33879100
2015-03-20,36.648048400878906,36.73351362541988,36.31472946076403,36.374555770000576,71904500
2015-03-23,36.630958557128906,36.86171860001043,36.5625837620723,36.648052255893056,26246100
2015-03-24,36.665138244628906,36.89589497869671,36.53693716100103,36.562576073611005,25513300
2015-03-25,35.43441390991211,36.690772637666605,35.41732021684806,36.68222416099029,43469900
2015-03-26,35.22073745727539,35.56260469917006,34.97288386991614,35.229285931480966,37495600
2015-03-27,35.015628814697266,35.40877396278322,34.89597622704402,35.14382661848782,34401400
2015-03-30,35.0070915222168,35.502798984048304,34.96435890730121,35.12674414809626,35049700
2015-03-31,34.750675201416016,35.06690030606556,34.64811632482739,34.85323407800465,34887200
2015-04-01,34.80195999145508,34.83614411378155,34.45154747037479,34.69939784361091,36865300
2015-04-02,34.43445587158203,34.81905579864843,34.2891611167843,34.75068102926398,37487500
2015-04-06,35.511322021484375,35.70789453554265,34.340432150664455,34.47717838915228,39223700
2015-04-07,35.494239807128906,35.819013451123595,35.306215706111814,35.562614578617705,28809400
2015-04-08,35.40022277832031,35.63098271983689,35.07545242533098,35.43441016083126,24753400
2015-04-09,35.45150375366211,35.57115633183001,35.25493119520224,35.25493119520224,25723900
2015-04-10,35.65662384033203,35.85319639356819,35.391676524080786,35.57970386208413,28022000
2015-04-13,35.69081115722656,35.94721328120267,35.374586000688055,35.383134476974426,30276700
2015-04-14,35.59679412841797,35.92156444063222,35.374579430284186,35.724991906306386,24244400
2015-04-15,36.118133544921875,36.289067159494515,35.62242964897749,35.69080113863403,27343600
2015-04-16,36.03268814086914,36.18652815237613,35.74210181472144,35.85320921420743,22509700
2015-04-17,35.5711669921875,35.67372917017258,35.17802175744568,35.613899602870006,42387600
2015-04-20,36.673675537109375,36.895887005718286,35.62243796350941,35.66517056205479,46057700
2015-04-21,36.442928314208984,36.87880944827984,36.348914608417644,36.750608347602665,26013800
2015-04-22,36.74205780029297,36.861710404750646,36.36600303166717,36.46856194116105,25064300
2015-04-23,37.04118347167969,37.27194342687697,36.57966356128511,36.65658354635087,46309500
2015-04-24,40.9128303527832,41.14359039393919,39.01547544820559,39.024020667378934,130933700
2015-04-27,41.049560546875,41.1350290064629,40.35728395579902,40.365829171613626,59248200
2015-04-28,42.01533508300781,42.058067684828686,40.76752485222254,40.835896363078234,60730800
2015-04-29,41.92987060546875,42.143536878561726,41.451256980036604,41.639284343650765,47804600
2015-04-30,41.57090377807617,42.340103558132014,41.536716396676326,41.62218485017594,64725500
