Price,Close,High,Low,Open,Volume
Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
Date,,,,,
2015-01-02,26.244781494140625,26.55453482936228,26.162013603133126,26.395939382391216,26480000
2015-01-05,25.744714736938477,26.16746641234832,25.659967402967474,26.12583574501147,41182000
2015-01-06,25.10934829711914,25.831443710375485,25.055326743278943,25.79625615665274,54456000
2015-01-07,25.035503387451172,25.349716612643217,24.961163720980398,25.322955391440964,46918000
2015-01-08,25.12273406982422,25.151973850462305,24.533457771680816,24.855106702207085,73054000
2015-01-09,24.815954208374023,25.206492282502193,24.713365412728884,25.185676945346987,42000000
2015-01-12,24.63456153869629,24.794145774577387,24.32976339955976,24.742602769923597,57138000
2015-01-13,24.869478225708008,25.206490036792026,24.644474093088196,24.90763967375932,60958000
2015-01-14,25.07416343688965,25.18964034288116,24.68907971722886,24.801085509936147,52800000
2015-01-15,24.97900390625,25.26348011616419,24.87988246536749,25.2208587851593,51068000
2015-01-16,25.298669815063477,25.31799725789734,24.933407046507735,24.936380935540083,49658000
2015-01-20,25.272899627685547,25.553908534036548,25.244650515231655,25.413156414301586,46796000
2015-01-21,25.790807723999023,25.86316606025628,25.25555303458851,25.31750370379337,46356000
2015-01-22,26.628875732421875,26.705198625022977,25.866140248941647,25.920159917266922,56068000
2015-01-23,26.859331130981445,27.030810910604092,26.55205635090726,26.665054685544487,45966000
2015-01-26,26.600133895874023,26.837033598508064,26.36967730553859,26.837033598508064,30932000
2015-01-27,25.830453872680664,26.404860645337777,25.81409842796658,26.33646686797369,39148000
2015-01-28,25.396305084228516,26.05347788728196,25.392340528778753,26.019280996974253,35822000
2015-01-29,25.435955047607422,25.533093275569083,24.952738682816666,25.419599601712203,79018000
2015-01-30,26.641263961791992,26.916325060020366,25.68127634043853,25.7219163388406,121108000
2015-02-02,26.376117706298828,26.589228161069897,25.856723125756513,26.481185043761325,75378000
2015-02-03,26.430635452270508,26.636310245242328,26.108986536682703,26.26411088232547,47062000
2015-02-04,26.07379722595215,26.60161623215957,26.020766335374578,26.422702674265885,33896000
2015-02-05,26.2586612701416,26.301282607769842,26.051001356029268,26.164495035906885,33176000
2015-02-06,26.459379196166992,26.7735924347286,26.200178182803285,26.317141077988286,42938000
2015-02-09,26.231403350830078,26.459381381471278,26.145663450115162,26.319619917328254,30314000
2015-02-10,26.770618438720703,26.81224910728996,26.22594863435518,26.373639197387053,47430000
2015-02-11,26.6635684967041,26.85933284449532,26.56444704470312,26.749308391985274,38306000
